                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.97627,                0.96322,                 1.4753,                0.59747,                0.92575,                0.79332,                 0.5813,                0.95134,                 1.0108,                  1.351,              0.0012214,              0.0012214,              0.0012214
                     84,                 1.0312,                0.98763,                 1.4881,                0.52009,                0.83234,                0.69224,                0.54559,                0.79697,                 1.1386,                 1.2265,              0.0012159,              0.0012159,              0.0012159
                     85,                 1.0131,                 1.0002,                 1.4941,                 0.5311,                0.82894,                0.71698,                0.52405,                0.93955,                 1.1729,                 1.2906,              0.0012104,              0.0012104,              0.0012104
                     86,                0.94818,                0.93226,                 1.4495,                 0.6424,                0.89813,                 0.8382,                 0.6306,                0.85691,                0.90399,                 1.2727,              0.0012049,              0.0012049,              0.0012049
                     87,                0.98193,                0.94568,                 1.4475,                0.64134,                0.85732,                0.79463,                0.60902,                0.79212,                0.95727,                 1.2128,              0.0011994,              0.0011994,              0.0011994
                     88,                 0.9842,                0.96104,                 1.4947,                 0.6022,                0.93678,                0.83388,                0.64726,                0.87166,                 0.8669,                  1.228,              0.0011939,              0.0011939,              0.0011939
                     89,                0.99855,                 0.9428,                 1.4491,                0.71278,                  0.449,                0.53165,                0.32629,                 1.8566,                 2.3893,                 2.0718,              0.0011884,              0.0011884,              0.0011884
                     90,                  1.023,                 1.0024,                 1.5588,                0.55146,                0.87241,                0.77361,                0.59195,                0.78216,                 1.0743,                 1.2303,              0.0011829,              0.0011829,              0.0011829
                     91,                0.96795,                 0.9738,                 1.4637,                 0.6264,                0.90052,                0.83803,                0.66619,                0.75464,                0.92653,                 1.1664,              0.0011774,              0.0011774,              0.0011774
                     92,                 1.0292,                0.95017,                 1.4856,                0.57837,                0.87308,                0.71725,                0.53723,                0.91601,                 1.0215,                 1.3343,              0.0011719,              0.0011719,              0.0011719
                     93,                0.92673,                0.93966,                 1.4272,                0.61534,                0.90551,                0.78833,                0.58302,                 0.9408,                0.92754,                 1.3101,              0.0011664,              0.0011664,              0.0011664
                     94,                0.88656,                0.91098,                 1.4239,                0.62167,                0.84098,                0.77777,                0.59868,                0.88466,                0.91998,                   1.33,              0.0011609,              0.0011609,              0.0011609
                     95,                0.94672,                0.90003,                 1.4337,                0.63401,                0.87599,                0.75949,                0.55266,                0.94271,                0.99233,                  1.319,              0.0011554,              0.0011554,              0.0011554
                     96,                0.94635,                 0.8518,                 1.4267,                0.60944,                0.93513,                0.83518,                0.64117,                0.77505,                0.86869,                 1.2178,              0.0011499,              0.0011499,              0.0011499
                     97,                 0.9006,                0.87842,                 1.4099,                0.61772,                0.95429,                0.86918,                0.67791,                0.79714,                0.85361,                 1.2337,              0.0011444,              0.0011444,              0.0011444
                     98,                0.85456,                0.83124,                 1.3756,                0.62098,                0.95149,                0.86671,                0.68758,                0.72639,                 0.8334,                   1.16,              0.0011389,              0.0011389,              0.0011389
                     99,                0.85754,                0.80511,                 1.3481,                0.63513,                0.89997,                0.84979,                0.68504,                0.70711,                 0.8574,                 1.1388,              0.0011334,              0.0011334,              0.0011334
                    100,                0.86952,                0.81832,                 1.3892,                0.74773,                0.91646,                0.87642,                 0.6843,                0.74764,                0.81974,                 1.1835,              0.0011279,              0.0011279,              0.0011279
                    101,                0.83548,                0.78334,                 1.3566,                0.78163,                 0.8735,                0.88612,                0.70904,                0.72761,                0.79595,                 1.1745,              0.0011224,              0.0011224,              0.0011224
                    102,                0.84763,                0.81963,                 1.3647,                0.83712,                 0.8876,                0.93189,                0.77371,                0.66158,                0.72042,                 1.1003,              0.0011169,              0.0011169,              0.0011169
                    103,                0.87837,                0.78125,                 1.3567,                0.73908,                0.91248,                0.90966,                0.74429,                 0.6691,                0.77826,                 1.1077,              0.0011114,              0.0011114,              0.0011114
                    104,                0.91436,                0.84048,                 1.4127,                0.70055,                0.92609,                0.84235,                0.67922,                0.68584,                0.80957,                 1.1504,              0.0011059,              0.0011059,              0.0011059
                    105,                0.90167,                0.81097,                 1.3954,                0.65819,                0.83498,                0.80406,                0.64145,                0.76105,                 1.0248,                 1.2131,              0.0011004,              0.0011004,              0.0011004
                    106,                0.90353,                0.79659,                 1.3989,                0.85597,                0.91854,                0.95127,                0.75424,                0.73828,                0.65455,                 1.1761,              0.0010949,              0.0010949,              0.0010949
                    107,                 0.8763,                0.82299,                 1.3975,                0.79047,                0.88212,                0.92947,                 0.7491,                0.72022,                0.72949,                 1.1753,              0.0010894,              0.0010894,              0.0010894
                    108,                0.89997,                 0.8909,                  1.372,                0.68017,                0.84935,                 0.8927,                0.69633,                0.77303,                 1.0421,                 1.1932,              0.0010839,              0.0010839,              0.0010839
                    109,                0.82894,                0.78738,                 1.3518,                0.88875,                0.89966,                0.95516,                0.76916,                0.77076,                0.64077,                 1.1406,              0.0010784,              0.0010784,              0.0010784
                    110,                0.81974,                0.74953,                 1.3144,                0.70983,                   0.87,                0.91584,                0.77343,                0.63137,                0.88648,                 1.0857,              0.0010729,              0.0010729,              0.0010729
                    111,                 0.8472,                0.76606,                 1.3446,                0.76445,                0.93053,                0.94386,                0.76065,                0.76355,                0.79046,                 1.2632,              0.0010674,              0.0010674,              0.0010674
                    112,                0.87019,                0.71903,                 1.3695,                 0.7983,                0.89628,                0.95069,                0.78764,                0.68133,                0.74648,                 1.1114,              0.0010619,              0.0010619,              0.0010619
                    113,                0.86326,                0.70377,                 1.3032,                0.84211,                0.87655,                0.95481,                0.77978,                0.73222,                0.65912,                 1.1815,              0.0010564,              0.0010564,              0.0010564
                    114,                0.82477,                 0.6764,                  1.306,                0.75245,                0.76735,                0.82138,                0.63583,                0.92389,                0.95718,                 1.3314,              0.0010509,              0.0010509,              0.0010509
                    115,                0.82013,                0.68631,                 1.3378,                0.83637,                0.87886,                0.91754,                0.72921,                0.80837,                0.66443,                 1.2488,              0.0010454,              0.0010454,              0.0010454
                    116,                 0.8579,                0.75431,                 1.3731,                0.93975,                0.93505,                0.97681,                0.82477,                0.69981,                 0.5406,                 1.1279,              0.0010399,              0.0010399,              0.0010399
                    117,                0.82545,                0.68833,                 1.3067,                0.94403,                0.87541,                0.97049,                0.82381,                0.63414,                0.56614,                 1.0898,              0.0010344,              0.0010344,              0.0010344
